Layer;Collisions mean;Std. deviation
1;2.83877e+014;9.46257e+013
2;4.79925e+003;1.41548e+003
3;2.22904e+003;5.31369e+002
4;4.83992e+002;8.06209e+001
5;2.06126e+001;2.16362e+000
6;6.84222e+002;1.67334e+002
7;1.52870e+002;2.62450e+001
8;9.07242e+002;2.91453e+002
9;2.03582e+003;6.74774e+002
10;7.33923e+001;2.07939e+001
11;1.23759e+004;4.04052e+003
12;8.91216e+001;2.14920e+001
13;1.55666e+003;4.82042e+002
14;5.71819e+001;1.43104e+001
15;9.47794e+001;1.94984e+001
16;4.15233e+000;1.21769e+000
17;1.46657e+001;3.98387e+000
18;2.04957e+000;4.17043e-001
19;1.07503e+002;3.15635e+001
20;8.74468e+000;1.36762e+000
21;1.29270e+002;3.08980e+001
22;6.56077e+000;1.18844e+000
23;5.92629e+000;1.21978e+000
24;9.41347e+000;2.25350e+000
25;1.16702e+001;3.39227e+000
26;9.24385e-001;2.76408e-001
27;1.74251e+000;4.49409e-001
28;9.00000e-002;3.00000e-002
29;6.77509e+001;2.25223e+001
30;7.52797e-001;1.11778e-001
31;1.03877e+001;2.13711e+000
32;2.91600e-001;7.42377e-002
33;5.09847e-001;1.42988e-001
34;5.31441e-002;1.77147e-002
35;2.92223e+000;6.22595e-001
36;9.97048e+000;1.91061e+000
37;7.71164e+012;2.57055e+012
38;9.00000e-002;3.00000e-002
39;1.00000e-001;3.33333e-002
40;1.56721e+001;3.36506e+000
41;7.05860e-001;1.35167e-001
42;1.11124e+000;2.67496e-001
43;6.36269e+000;2.12090e+000
44;0.00000e+000;0.00000e+000
45;3.73318e-001;6.94444e-002
46;1.23604e+000;3.79850e-001
47;3.78994e+001;1.19056e+001
48;2.99700e-001;7.48733e-002
49;1.27510e+002;4.23304e+001
50;3.86830e-001;7.19038e-002
51;0.00000e+000;0.00000e+000
52;9.00000e-002;3.00000e-002
53;6.74930e-001;1.78286e-001
54;1.27267e+000;2.44948e-001
55;4.02432e-001;1.34144e-001
56;8.42390e+000;2.23300e+000
57;1.71000e-001;3.80657e-002
58;3.57435e+000;1.19145e+000
59;9.27095e+000;3.09032e+000
60;1.60095e+000;4.97715e-001
61;1.40768e+001;3.09655e+000
62;3.62449e-001;8.05697e-002
63;1.43489e-001;4.78297e-002
64;0.00000e+000;0.00000e+000
65;0.00000e+000;0.00000e+000
66;1.42055e+000;2.62264e-001
67;9.00000e-002;3.00000e-002
68;4.15530e-001;9.24997e-002
69;5.55906e-001;1.85302e-001
70;0.00000e+000;0.00000e+000
71;1.45652e+002;4.85158e+001
72;0.00000e+000;0.00000e+000
73;2.75302e-001;9.17673e-002
74;8.72796e-001;2.90932e-001
75;0.00000e+000;0.00000e+000
76;4.85013e+000;1.15754e+000
77;9.00000e-002;3.00000e-002
78;2.29140e-001;5.14322e-002
79;1.59432e-001;5.31441e-002
80;1.96830e-001;6.56100e-002
81;0.00000e+000;0.00000e+000
82;1.32171e+000;3.79524e-001
83;1.21577e+000;4.05256e-001
84;0.00000e+000;0.00000e+000
85;2.43000e-001;8.10000e-002
86;1.00000e-001;3.33333e-002
87;1.14456e+001;3.81520e+000
88;0.00000e+000;0.00000e+000
89;8.10000e-002;2.70000e-002
90;2.24706e+001;4.96663e+000
91;2.28768e-001;7.62560e-002
92;0.00000e+000;0.00000e+000
93;0.00000e+000;0.00000e+000
94;0.00000e+000;0.00000e+000
95;6.31032e-001;1.28671e-001
96;0.00000e+000;0.00000e+000
97;0.00000e+000;0.00000e+000
98;9.41432e-001;3.13811e-001
99;0.00000e+000;0.00000e+000
100;7.08267e-001;2.01790e-001
